"DATE_KEY","TOTAL_DAILY_DIGITAL_SEARCHES","CUMULATIVE_SEARCH_AVG","ADJ_CLOSE_PRICE","TICKER"
"2006-03-01",2868,2868.0,15.0000,EBAY
"2006-03-02",2925,2896.5,15.1200,EBAY
"2006-03-03",3084,2959.0,15.1700,EBAY
"2006-03-06",2921,3133.333,14.9600,EBAY
"2006-03-07",2835,3090.714,14.6300,EBAY
"2006-03-08",2738,3046.625,14.1600,EBAY
"2006-03-09",2843,3024.0,14.2300,EBAY
"2006-03-10",2803,3001.9,14.2400,EBAY
"2006-03-13",2802,3002.769,14.1700,EBAY
"2006-03-14",2953,2999.214,14.7000,EBAY
"2006-03-15",2912,2993.4,14.4500,EBAY
"2006-03-16",2655,2972.25,14.4300,EBAY
"2006-03-20",3073,2985.15,14.4500,EBAY
"2006-03-21",2817,2977.143,14.2500,EBAY
"2006-03-22",2948,2975.818,14.2400,EBAY
"2006-03-23",3186,2984.957,14.0400,EBAY
"2006-03-24",2702,2973.167,14.0200,EBAY
"2006-03-27",3051,3019.185,13.9600,EBAY
"2006-03-28",2946,3016.571,14.6100,EBAY
"2006-03-29",2816,3009.655,14.7800,EBAY
"2006-03-30",2732,3000.4,14.7800,EBAY
"2006-03-31",3009,3000.677,14.6600,EBAY
"2006-04-03",2915,3007.353,14.6600,EBAY
"2006-04-04",2305,2987.286,14.8100,EBAY
"2006-04-05",2395,2970.833,14.4800,EBAY
"2006-04-06",2447,2956.676,14.5800,EBAY
"2006-04-07",2503,2944.737,14.3800,EBAY
"2006-04-10",2268,2930.488,14.3200,EBAY
"2006-04-11",2024,2908.905,14.4000,EBAY
"2006-04-12",1667,2880.023,14.4600,EBAY
"2006-04-13",31,2815.273,14.5100,EBAY
"2006-04-17",2082,2744.333,14.2900,EBAY
"2006-04-18",2005,2729.245,14.6100,EBAY
"2006-04-19",1794,2710.54,15.1700,EBAY
"2006-04-20",1725,2691.216,13.8200,EBAY
"2006-04-21",1855,2675.135,13.1900,EBAY
"2006-04-24",1943,2642.727,13.1300,EBAY
"2006-04-25",1800,2627.679,12.9600,EBAY
"2006-04-26",1932,2615.474,12.8600,EBAY
"2006-04-27",1664,2599.069,13.0500,EBAY
"2006-04-28",1555,2581.373,12.9300,EBAY
"2006-05-01",1771,2547.21,12.9000,EBAY
"2006-05-02",1902,2536.968,13.0600,EBAY
"2006-05-03",2218,2531.984,12.8400,EBAY
"2006-05-04",2185,2526.646,12.8200,EBAY
"2006-05-05",2113,2520.379,12.1700,EBAY
"2006-05-08",2465,2518.29,11.7700,EBAY
"2006-05-09",2624,2519.8,11.9800,EBAY
"2006-05-10",2565,2520.437,12.2500,EBAY
"2006-05-11",2471,2519.75,12.0400,EBAY
"2006-05-12",2321,2517.027,11.8400,EBAY
"2006-05-15",2782,2527.724,11.7400,EBAY
"2006-05-16",470,2501.0,11.3800,EBAY
"2006-05-17",3,2468.974,11.0900,EBAY
"2006-05-18",2263,2466.367,11.1400,EBAY
"2006-05-19",2296,2464.238,11.1600,EBAY
"2006-05-22",2325,2465.795,11.1900,EBAY
"2006-05-23",2447,2465.571,11.3000,EBAY
"2006-05-24",2366,2464.4,11.3500,EBAY
"2006-05-25",2241,2461.802,12.7300,EBAY
"2006-05-26",2231,2459.149,12.8600,EBAY
"2006-05-30",2366,2448.549,12.4800,EBAY
"2006-05-31",1478,2438.0,12.3300,EBAY
